name,type,location,address,distance,rating_gaode,rating_xhs,business_area
公共厕所,公共设施;公共厕所;公共厕所,"114.297931,30.586566",兰陵路39-43号,746,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.283204,30.590033",如家快捷酒店(武汉江汉北路店)东北,748,[],,建设大道
公共厕所,公共设施;公共厕所;公共厕所,"114.295082,30.592330",大智路B出口,762,[],,江滩
公共厕所,公共设施;公共厕所;公共厕所,"114.284231,30.582176",前进街办事处前进五路,777,[],,前进
公共厕所(装修中),公共设施;公共厕所;公共厕所,"114.292991,30.580340",扬子街4号附近,784,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.292966,30.593654",解放南路世纪皇冠(同庆阁社区东北),793,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.293053,30.593650",铭新巷小区8栋1楼,795,[],,大智路
公共厕所,公共设施;公共厕所;公共厕所,"114.289269,30.579658",前进五路联保里2号楼,816,[],,江滩
江汉路地铁站母婴室,公共设施;公共设施;公共设施,"114.292383,30.579662",江汉路步行街与扬子街交叉口西80米,839,[],,江滩
武汉亚洲心脏病医院母婴室,公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,"114.282665,30.582974",亚洲心脏病医院门诊部2层,843,[],,江滩
公共厕所,公共设施;公共厕所;公共厕所,"114.282590,30.590915",渣家路40号,848,[],,建设大道
公共厕所,公共设施;公共厕所;公共厕所,"114.283089,30.592044",台北路武汉市青少年宫,882,[],,建设大道
公共厕所,公共设施;公共设施;公共设施,"114.290208,30.579012",江汉路地铁站B1层G口通道处,884,[],,前进
公共厕所,公共设施;公共厕所;公共厕所,"114.282718,30.581924",京汉大道744号,905,[],,前进
肯德基(新佳丽餐厅)-洗手间,公共设施;公共厕所;公共厕所,"114.290727,30.578574",民生路176号万达广场B座沃尔玛武汉中山大道分店2层,934,[],,江滩
公共厕所,公共设施;公共厕所;公共厕所,"114.297170,30.581100",洞庭街47号,936,[],,江滩
Happy站台美食购物广场-洗手间,公共设施;公共厕所;公共厕所,"114.290840,30.578481",中山大道818号佳丽广场B1层(民生路口),945,[],,江滩
公共厕所,公共设施;公共厕所;公共厕所,"114.282038,30.581828",京汉大道万科金色家园-三期,964,[],,江滩
公共厕所,公共设施;公共厕所;公共厕所,"114.297100,30.593229",京汉街与车站路交叉路口南侧(辅堂里),965,[],,大智路
无障碍公共厕所,公共设施;公共厕所;公共厕所,"114.291288,30.578337",中山大道与前进五路交叉口东100米,965,[],,江滩
长江汉风报亭无人自助点,公共设施;报刊亭;报刊亭,"114.298268,30.592108",友益街与车站路交汇处,966,[],,大智路
公共厕所(新佳丽时尚广场),公共设施;公共厕所;公共厕所,"114.291278,30.578301",中山大道818号新佳丽时尚广场F5层,969,[],,江滩
公共厕所(新佳丽时尚广场),公共设施;公共厕所;公共厕所,"114.291292,30.578285",中山大道818号新佳丽时尚广场F6层,971,[],,江滩
公共厕所(新佳丽时尚广场),公共设施;公共厕所;公共厕所,"114.291303,30.578276",中山大道818号新佳丽时尚广场F2层,972,[],,江滩
