name,type,location,address,distance,rating,business_area
美庐时尚餐厅(百年雅苑),餐饮服务;中餐厅;湖北菜(鄂菜),"114.290504,30.584746",南京路122号(循礼门地铁站H口步行360米),248,4.5,江滩
富贵烙锅(江汉路店),餐饮服务;中餐厅;中餐厅,"114.289281,30.584835",江岸区铭新街10号(循礼门地铁站H口步行220米),250,4.6,江滩
合鲜生臻选烤肉火锅自助餐厅,餐饮服务;中餐厅;海鲜酒楼,"114.287829,30.585886",京汉大道856号附3号循礼门地铁H出口前行50米,252,4.2,江滩
生鲜蔬菜(金业里小区店),购物服务;综合市场;农副产品市场|餐饮服务;餐饮相关场所;餐饮相关,"114.290152,30.584685",金业里小区东北门东南60米,252,3.9,江滩
公安锅盔(铭新街店),餐饮服务;餐饮相关场所;餐饮相关,"114.289126,30.584863",大智街铭新街17号8栋1层,252,4.3,大智路
栽麦子武汉江湖菜·砂锅牛杂,餐饮服务;快餐厅;快餐厅,"114.287741,30.585997",大智街道京汉大道商住楼A栋1层3室S0110,254,3.6,大智路
胖子烧烤(铭新街店),餐饮服务;中餐厅;特色/地方风味餐厅,"114.292470,30.588114",铭新街83号物资大厦F2层,257,4.3,大智路
果宝优鲜捞,餐饮服务;餐饮相关场所;餐饮相关,"114.287719,30.585954",京汉大道856附2(循礼门地铁站H口步行70米),258,3.8,江滩
枫泊楼炙烤猪蹄手撕大骨义和巷店,餐饮服务;餐饮相关场所;餐饮相关,"114.290872,30.589195",安静社区(黄石路)(大智路地铁站G口步行400米),258,1.7,江滩
鸿鼎旺砂锅烧烤酒馆(金业里小区店),餐饮服务;餐饮相关场所;餐饮相关,"114.289202,30.584772",铭新街12号·14号-2,259,4.4,江滩
徐记渔海鲜烧烤大排档(吉庆街店),餐饮服务;中餐厅;海鲜酒楼|餐饮服务;中餐厅;特色/地方风味餐厅,"114.290665,30.584663",吉庆街43号(循礼门地铁站H口步行400米),259,4.2,江滩
